Timestamp,name,dept,emaiid,teachingscore,teaching,coursecontentscore,coursecontent,examinationscore,examination,labworkscore,labwork,libraryfacilitiesscore,libraryfacilities,extracurricularscore,extracurricular,emaiid,dept,name
2/9/2020 14:25:08,a,it,a,1,Very creative lectures,-1,Not satisfied,-1,Boring,1,Interesting,1,Really amazing,1,Expertise required!!!!!,a,it,a
2/9/2020 14:26:15,a,it,a,1,Good teaching techniques,0,Nice notes and easy to understand,1,Always important to check what one has learned,0,Practicals are very very important for each n every student.,-1,There should be always someone who should suggest you what to read and understand person,1,"Very important to build overall personality 
",a,it,a
2/9/2020 14:29:44,a,it,a,1,This is a magnificent academy with excelllent teachers,-1,Background for benefiting from the courses was noot goood,-1,can able to write answer without reading,-1,the equipments in lab are not in good condition,1,nice atmosphere for studying,1,staff is not cooperative,a,it,a
2/9/2020 14:35:49,a,it,a,1,Nice teaching,1,Good,1,Perfect plans,1,Interesting,1,Good,1,Mind blowing!!!!,a,it,a
2/9/2020 15:13:48,a,it,a,1,teaching is good,0,not completed on time,-1,poor,1,very good labwork,1,excellent,1,many activities taken,a,it,a
2/9/2020 15:16:41,a,it,a,-1,not good,0,average completion of course,-1,very critical,0,not too good,1,books provided are very useful,0,no more time to extra activities,a,it,a
2/9/2020 15:20:36,a,it,a,0,not too good,1,all the things get covered,0,easy,0,assignments are critical to understand,1,very good,0,always helpful,a,it,a
2/9/2020 15:26:15,a,it,a,-1,teaching is not good,0,completion is always late,-1,exams were  very hard,1,assignments completed on time,1,awesome experience,0,medium,a,it,a
2/9/2020 15:32:40,a,it,a,1,very good,1,whole syllabus covered in time,1,was too easy,1,excellent labwork,1,always helpful,1,activities are conducted in large amount,a,it,a
2/9/2020 15:39:29,a,it,a,0,points are not understandable,0,somehow completed,0,exams was easy,0,not much good,1,awesome,1,always conducted and helpful,a,it,a
2/9/2020 15:46:58,a,it,a,-1,hard to understand,-1,not helpful for exams,-1,very critical,0,tough syllabus in labwork,0,always helpful and good,0,not supportive to extracurricular,a,it,a
2/9/2020 15:48:22,a,it,a,-1,Slow voice so it's not that audible,1,Up to mark,1,Satisfactory,1,Well enoughhhh!!,1,Awesommemeeeee,1,Activities full of excitementt,a,it,a
2/9/2020 15:49:39,a,it,a,1,Good,1,Okay,1,Gud,-1,Not happy...With labs,-1,Magazines aren't available,1,Sportinesss,a,it,a
2/9/2020 15:51:38,a,it,a,-1,Not gud behavior,1,Well versed,1,Okayyy....,1,Well enough,1,Okay,-1,Can be more better,a,it,a
2/9/2020 15:53:14,a,it,a,1,Excellent explaination,1,Happy with courses,1,Niceee,1,Perfecttt,1,Niceee,0,Its gud but Can add some more activities,a,it,a
2/9/2020 15:54:32,a,it,a,1,Well planned and nice skillssss,-1,Not well versed,1,Okay,1,Clear labs !!!!,-1,Language and communication problems are faced many times...,1,Quite excitiing,a,it,a
2/9/2020 15:54:59,a,it,a,-1,very bad and hard to understand,0,helpful courses provided,0,pattern was hard,1,appreciable,-1,not good,0,always conducted,a,it,a
2/9/2020 15:56:36,a,it,a,1,Quite impressive teaching,1,Great courses,1,Easy examination due to planned courses,1,Awesome management and teaching,1,Great staff coordination,1,Amazing!!!!!,a,it,a
2/9/2020 15:58:37,a,it,a,0,Gud but Not much satisfied,-1,Irrelevant,-1,Out of syllabus questions,-1,Not that gud labs,-1,Unclean librarry,1,Awesomeeee activities held in college,a,it,a
2/9/2020 15:59:45,a,it,a,-1,More Hard work required regarding concepts clearing,1,Okay,1,Okay,1,Okay,-1,Can do Better,1,Niceee,a,it,a
2/9/2020 16:00:38,a,it,a,1,Awesome teaching skills,1,Nice,1,Wonderfullll,1,Happy with lab guide,1,Amazing,1,Gudd,a,it,a
2/9/2020 16:02:00,a,it,a,1,Low voice,1,Okay,1,Nicer,0,Okay but isn't that clean and gud,-1,No proper guidance,1,Perfectt,a,it,a
2/9/2020 16:05:30,a,it,a,0,teaching  is neutral,1,innovative courses,0,very good,0,manuals are not completed,0,nice,1,helpful and enjoyable,a,it,a
2/9/2020 16:30:29,a,it,a,1,teaching is good,-1,not covered in time,0,questions were hard to understand,0,lab work is good,1,excellent functionalities are provided in library,0,better to enjoy,a,it,a
2/9/2020 17:17:07,a,it,a,-1,very bad teaching,0,completed till the date,1,very good,1,nice and helpful,0,all the requirements get fulfill,0,helpful n encouragable,a,it,a
2/9/2020 17:32:28,a,it,a,1,teaching is excellent,-1,not completed,0,not so good,0,assignments were completed in time,0,good facilities,1,always helpful,a,it,a
2/9/2020 17:45:55,a,it,a,-1,is not good,0,completed in time,1,exams was too tough,1,assignments were too hard,-1,not good,1,excellent,a,it,a
2/9/2020 17:50:30,a,it,a,0,teaching is understandable,1,very good,0,good,1,awesome,-1,not good,1,nice activities taken,a,it,a
2/9/2020 18:02:55,a,it,a,1,Teacher was good.,1,Good coursecontent. It was informative,1,Disciplined and strict examination,0,Good,1,Good,1,Good and necessary extracurricular provided,a,it,a
2/9/2020 18:28:18,a,it,a,0,Explains well but unable to write content on blackboard,1,Good,0,Exams schedule is good but can be done much better,1,Laboratories are well infrastructured but some pc are not working,1,Awesome and great,-1,No extra  curricular activities are conducted,a,it,a
2/9/2020 19:39:54,a,it,a,1,Easily available and understandable notes,-1,Interaction needed,-1,Poor printing,1,Avg,1,Gudd,1,Excitement for activities is unending,a,it,a
2/9/2020 19:43:19,a,it,a,1,Not only taught as per syllabus but extra knowledge shared too,1,Very Helpful,1,Gud,1,Interesting lab tasks:),1,Report is maintained for each book issued and easy to search any of the books,1,Very stimulating team conducting activities which attracts us to participate!!!!!!!,a,it,a
2/9/2020 19:46:20,a,it,a,1,Always willing to explain,1,Excellent course!,1,Very clearly organised,1,Really focused training faculty.,1,Effevtive plan and rules for our ease,1,Many activities along with fitness and music are conductedd,a,it,a
2/9/2020 19:48:20,a,it,a,1,Easy to learn and make notes,1,Goooooooooddd,1,Okay,1,Gr888,1,Nice interaction with librarian,1,Presentation skills get developed due to extra curricular activities!!,a,it,a
2/9/2020 19:50:06,a,it,a,1,Gr8 lecturers with perfect knowledge,-1,Too much syllabus,-1,Out of syllabus questions asked,1,More than expectations,1,Interesting eg to understand easily,1,Many activities conducted,a,it,a
2/9/2020 19:52:18,a,it,a,1,Many ideas are shared for logic development,1,Perfecttt,1,Its gr8,1,Nycc,1,Incredible,-1,Need to encourage more students for participation via poster or speech....,a,it,a
2/9/2020 19:53:55,a,it,a,1,Noteworthy lectures and can't forget those days,1,Appreciable course contents,1,Gr8 going,1,Honourable work carried,1,F9,1,Marvelous,a,it,a
2/9/2020 19:59:01,a,it,a,1,"Good reasoning sessions,very helpful",1,Phenomenal,1,Proper exams are conducted,1,Expertise faculty needed for concept clearing,1,Amazing,0,Not that satisfied by management,a,it,a
2/9/2020 20:00:54,a,it,a,1,Always well prepared,1,Good,1,Nyccc,1,Interesting assignments for interest development,1,Very knowledgeable books .....,1,Perfect in everyy aspects,a,it,a
2/9/2020 20:03:16,a,it,a,-1,Efforts needed in presentation skills,1,Very amazing courses,1,Well structured,-1,Manuals are difficult to understand!!!!,1,Nice books for referening,1,Awesomeeeee activities,a,it,a
2/9/2020 20:04:44,a,it,a,1,Staff have many ways to explain  so it's easy to understand,1,Outstanding,1,Gr88,1,Okay,-1,Complications faced with language and communication,1,Always having something positive to explain,a,it,a
2/9/2020 20:06:44,a,it,a,1,Well teaching,1,Good,1,Nice,1,Outstanding,1,Interesting,1,Can take us towards higher aspects of thinking and learning,a,it,a
2/9/2020 20:08:20,a,it,a,1,Enthusiastic teacher,1,Nicer,1,Out of sllybus is asked,-1,Not that gud,-1,Not that good,1,Woowwww,a,it,a
2/9/2020 20:14:04,a,it,a,1,Quite punctual,1,Helpful courses,-1,Not that easy,-1,Requires for brain development skills like coding,-1,Less no of books,1,One of the best platform to explore !!!!!,a,it,a
2/9/2020 20:14:56,a,it,a,1,Happy with teaching stuff.....,1,Gud,1,Fabbb,1,Fabbb,1,Insufficient books,-1,Can do better,a,it,a
2/9/2020 20:16:14,a,it,a,-1,Excellence in performing is required,-1,Too many courses,1,Good,1,Sufficient practice is conducted,1,Awesoooooome,1,Wonder-fullll,a,it,a
2/9/2020 20:18:17,a,it,a,1,Hard working staff,1,Well versed,1,Nice,1,Good,-1,Not that descent,1,Cool,a,it,a
2/9/2020 20:27:26,a,it,a,-1,not,0,completed within time,-1,not good,0,excellent,-1,very bad,0,helpful and good,a,it,a
2/9/2020 20:31:10,a,it,a,0,Average in explanation,1,Cool,1,Easy to score,-1,Interest could be developed more,1,Nice,1,Good enoughhhh .....,a,it,a
2/9/2020 20:31:44,a,it,a,1,teaching is very good,0,not completed,0,complex and hard questions,1,satisfactory lab work provided,1,library facilities are very good,0,always held motivational activities,a,it,a
2/9/2020 20:32:22,a,cse,a,1,Great jobbbb,1,Excellent,1,Gooddd,1,Nice,1,Perfectly done,1,Better than before,a,cse,a
2/9/2020 20:37:49,a,cse,a,0,expectations not fulfilled,1,courses are relevant to syllabus only,0,exams were hard,-1,lab work is not satisfactory,0,excellent,-1,not conducted,a,cse,a
2/9/2020 20:43:04,a,cse,a,1,Best technical knowledge,-1,Course content is too much,1,Okay,1,Nice,1,Perfect,0,All is fine but they shouldn't force anyone to participate,a,cse,a
2/9/2020 20:44:36,a,cse,a,0,teaching is not good,0,very good,-1,very hard,1,manuals are not completed,0,extra books are provided,0,usually extra curricular activities takes place,a,cse,a
2/9/2020 20:45:09,a,cse,a,1,Amazing ways to learn & explore,1,Gr8,1,Fine,1,Great teaching,1,Well comfortness to learn and handle books,-1,More events or gaming can be included,a,cse,a
2/9/2020 20:49:03,a,cse,a,1,Well versed and experience is gud,1,Nice,1,Good,1,Labs are clean and well maintained,1,Gud one,-1,Boring games,a,cse,a
2/9/2020 20:49:57,a,cse,a,0,Okay but can change some ways to teachh,1,Superb,1,Outstanding,1,Amazing,1,Nicee,1,Sufficient for knowledge and enjoy,a,cse,a
2/9/2020 20:49:59,a,cse,a,1,excellent teaching,0,relevant courses are in teaching,0,very hard,0,not satisfactory,1,library facilities are very good,-1,priorities are not given to extra curricular activities,a,cse,a
2/9/2020 21:03:24,a,cse,a,0,required points are covered,-1,courses are not completed,0,hard numericals,0,assignments are  easy to understand,-1,not good,0,games given as top priority,a,cse,a
2/9/2020 21:12:34,a,cse,a,1,excellent teaching provided,0,courses completed in time,1,excellent,0,practicals are conducted regularly,1,books re not available on time,1,sports is positive attribute,a,cse,a
2/9/2020 21:19:53,a,cse,a,0,not understandable,-1,not easy to learn,0,very hard,-1,assignments completed in time,1,high amount of books provided,-1,not in count,a,cse,a
2/9/2020 22:10:17,a,cse,a,-1,very bad,0,courses are completed,0,very hard to understand the questions,0,labs are very good,0,facilities are excellent,0,not conducted,a,cse,a
2/9/2020 22:20:03,a,cse,a,-1,poor teaching,1,courses are conducted in time,-1,exams were very tough,1,manuals are completed in time,1,books provided are useful,-1,not conducted,a,cse,a
2/9/2020 22:22:27,a,cse,a,-1,teaching is not good,0,completed in time,0,the exam was good,1,useful assignments taught by teacher,1,very nice,0,in average with education,a,cse,a
2/9/2020 22:35:20,a,cse,a,1,Well prepared teachers,1,Gives the basic knowledge of every thing.,1,Good,0,Can be more experimental,1,Good,1,Excellent,a,cse,a
2/9/2020 22:39:44,a,cse,a,0,Concept wise okay,1,Contents are well delivered,1,Amazing,1,Fabbbbb,1,Cooolll,1,Gudd,a,cse,a
2/9/2020 22:39:54,a,cse,a,0,Can be more interactive,-1,Does not give enough time to develop skills.,-1,Examination does not test skills.,1,Labwork gives more practical knowledge,-1,Requires more books from international renounced authors.,-1,Bad,a,cse,a
2/9/2020 22:40:15,a,cse,a,1,Fine,1,Okayyz,1,Perfect,1,Okay,1,Okay,1,Niccer,a,cse,a
2/9/2020 22:42:03,a,cse,a,-1,Handwriting can't be understood,1,Well planned,1,Fy9,1,Its nice to learn in labs,1,Facilities are well taken care of,1,All fields extra curricular included which increases the interest,a,cse,a
2/9/2020 22:47:20,a,cse,a,-1,Worst concepts,1,Okay,1,Okay,1,Quite easy to understand sessions,1,Nice,1,Perfect one!!,a,cse,a
2/9/2020 23:26:05,a,cse,a,0,good but skills can be improved in pronunciation,0,better than before but it can be improved more,-1,pattern is not satisfactory,-1,needs to improve,1,very good facilities,0,some activities are good but some are bad,a,cse,a
2/9/2020 23:28:17,a,cse,a,-1,needs to improve a lot,1,its the best course,0,ok ok,0,average,-1,books are not of good authors,1,best college for co curricular activities,a,cse,a
2/9/2020 23:31:27,a,cse,a,1,Excellent teaching,1,Awesome,1,Best,1,All apparatus are well maintained,1,Everything is good,1,Interesting,a,cse,a
2/9/2020 23:36:15,a,cse,a,1,My goodness how impressive!!,1,Good course,1,Remarkable,1,Excellent labs ....,1,Facilities are quite satisfactory,-1,Less attention is paid to extra curricular,a,cse,a
2/9/2020 23:38:29,a,cse,a,0,can improve the way of explanation,-1,its rubbish.... how could one design such a worst curriculam,-1,very bad examination pattern,0,its average when we talk about pc,1,very good library facilities,1,best college for extra co curricular activities,a,cse,a
2/9/2020 23:49:01,a,cse,a,1,awesome teachers,1,With the new technologies course is evolving,1,it takes good effort to give exams. question level is  moderate,-1,must be repaired since it has leakages on the roof,0,some books are good,-1,no extra curricular activity like art is happening,a,cse,a
2/9/2020 23:53:41,a,cse,a,-1,technologywise improvement must happen,0,average in some subjects,1,pattern is well structured,-1,machines are not upgraded,1,good in terms of programming subjects,-1,no extra curricular activity is conducted,a,cse,a
2/9/2020 23:53:59,a,cse,a,1,Dedicated score,1,Courses are knowledgeable.,1,Gr88,-1,Communication problem,-1,Timing are not convenient,-1,International level competition should be included,a,cse,a
2/9/2020 23:57:04,a,cse,a,1,Best in the world,1,Okay okay,-1,Practicals are not conducted well,1,Complicated place to work,-1,Books are too old to read,1,All is well,a,cse,a
2/9/2020 23:58:07,a,cse,a,0,teaching is  good,-1,irrelevant courses,0,was too critical,0,assignments are completed before time,-1,books are provided,0,games are the first priority,a,cse,a
